movie_title,year,place,star_cast,rating,vote,link
Cool Hand Luke,1967,233,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.021746962140414,,/title/tt0061512/
Amores perros,2000,234,"Alejandro G. Iñárritu (dir.), Emilio Echevarría, Gael García Bernal",8.021592808243225,,/title/tt0245712/
Dersu Uzala,1975,235,"Akira Kurosawa (dir.), Maksim Munzuk, Yuriy Solomin",8.020082874959908,,/title/tt0071411/
Les quatre cents coups,1959,236,"François Truffaut (dir.), Jean-Pierre Léaud, Albert Rémy",8.016531978391138,,/title/tt0053198/
Babam ve Oglum,2005,237,"Cagan Irmak (dir.), Çetin Tekindor, Fikret Kuskan",8.016297363559874,,/title/tt0476735/
Persona,1966,238,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",8.016242793780043,,/title/tt0060827/
Life of Brian,1979,239,"Terry Jones (dir.), Graham Chapman, John Cleese",8.015717931394349,,/title/tt0079470/
Pirates of the Caribbean: The Curse of the Black Pearl,2003,240,"Gore Verbinski (dir.), Johnny Depp, Geoffrey Rush",8.015374831046959,,/title/tt0325980/
La haine,1995,241,"Mathieu Kassovitz (dir.), Vincent Cassel, Hubert Koundé",8.015213274189602,,/title/tt0113247/
The Sound of Music,1965,242,"Robert Wise (dir.), Julie Andrews, Christopher Plummer",8.0134534069499,,/title/tt0059742/
It Happened One Night,1934,243,"Frank Capra (dir.), Clark Gable, Claudette Colbert",8.01320097239076,,/title/tt0025316/
Ah-ga-ssi,2016,244,"Park Chan-wook (dir.), Kim Min-hee, Ha Jung-woo",8.00844222982865,,/title/tt4016934/
Gandhi,1982,245,"Richard Attenborough (dir.), Ben Kingsley, John Gielgud",8.007557899389406,,/title/tt0083987/
Aladdin,1992,246,"Ron Clements (dir.), Scott Weinger, Robin Williams",8.007124895520127,,/title/tt0103639/
The Help,2011,247,"Tate Taylor (dir.), Emma Stone, Viola Davis",8.00491641087298,,/title/tt1454029/
Beauty and the Beast,1991,248,"Gary Trousdale (dir.), Paige O'Hara, Robby Benson",8.004242451337419,,/title/tt0101414/
Du rififi chez les hommes,1955,249,"Jules Dassin (dir.), Jean Servais, Carl Möhner",8.00174122206866,,/title/tt0048021/
Dances with Wolves,1990,250,"Kevin Costner (dir.), Kevin Costner, Mary McDonnell",8.001468183522249,,/title/tt0099348/
