movie_title,year,place,star_cast,rating,vote,link
Monty Python and the Holy Grail,1975,141,"Terry Gilliam (dir.), Graham Chapman, John Cleese",8.153686533415428,,/title/tt0071853/
A Beautiful Mind,2001,142,"Ron Howard (dir.), Russell Crowe, Ed Harris",8.153609162254535,,/title/tt0268978/
The Sixth Sense,1999,143,"M. Night Shyamalan (dir.), Bruce Willis, Haley Joel Osment",8.153509223430042,,/title/tt0167404/
The Truman Show,1998,144,"Peter Weir (dir.), Jim Carrey, Ed Harris",8.149939589399164,,/title/tt0120382/
Yôjinbô,1961,145,"Akira Kurosawa (dir.), Toshirô Mifune, Eijirô Tôno",8.149232925470079,,/title/tt0055630/
The Treasure of the Sierra Madre,1948,146,"John Huston (dir.), Humphrey Bogart, Walter Huston",8.148174982913597,,/title/tt0040897/
Rashômon,1950,147,"Akira Kurosawa (dir.), Toshirô Mifune, Machiko Kyô",8.143641942739691,,/title/tt0042876/
The Great Escape,1963,148,"John Sturges (dir.), Steve McQueen, James Garner",8.14300234202703,,/title/tt0057115/
Shutter Island,2010,149,"Martin Scorsese (dir.), Leonardo DiCaprio, Emily Mortimer",8.141506584142686,,/title/tt1130884/
Kill Bill: Vol 1,2003,150,"Quentin Tarantino (dir.), Uma Thurman, David Carradine",8.13694026032176,,/title/tt0266697/
Jurassic Park,1993,151,"Steven Spielberg (dir.), Sam Neill, Laura Dern",8.136246647837645,,/title/tt0107290/
No Country for Old Men,2007,152,"Ethan Coen (dir.), Tommy Lee Jones, Javier Bardem",8.1347409223677,,/title/tt0477348/
The Elephant Man,1980,153,"David Lynch (dir.), Anthony Hopkins, John Hurt",8.13144211546649,,/title/tt0080678/
Finding Nemo,2003,154,"Andrew Stanton (dir.), Albert Brooks, Ellen DeGeneres",8.131146876121322,,/title/tt0266543/
Raging Bull,1980,155,"Martin Scorsese (dir.), Robert De Niro, Cathy Moriarty",8.130892690753964,,/title/tt0081398/
Chinatown,1974,156,"Roman Polanski (dir.), Jack Nicholson, Faye Dunaway",8.129513666812432,,/title/tt0071315/
Gone with the Wind,1939,157,"Victor Fleming (dir.), Clark Gable, Vivien Leigh",8.127907820213988,,/title/tt0031381/
V for Vendetta,2005,158,"James McTeigue (dir.), Hugo Weaving, Natalie Portman",8.126849370620414,,/title/tt0434409/
Inside Out,2015,159,"Pete Docter (dir.), Amy Poehler, Bill Hader",8.125434509319565,,/title/tt2096673/
"Lock, Stock and Two Smoking Barrels",1998,160,"Guy Ritchie (dir.), Jason Flemyng, Dexter Fletcher",8.124364207163369,,/title/tt0120735/
The Thing,1982,161,"John Carpenter (dir.), Kurt Russell, Wilford Brimley",8.123371268378538,,/title/tt0084787/
Dial M for Murder,1954,162,"Alfred Hitchcock (dir.), Ray Milland, Grace Kelly",8.11923496294483,,/title/tt0046912/
El secreto de sus ojos,2009,163,"Juan José Campanella (dir.), Ricardo Darín, Soledad Villamil",8.118669725944844,,/title/tt1305806/
The Bridge on the River Kwai,1957,164,"David Lean (dir.), William Holden, Alec Guinness",8.115673293015837,,/title/tt0050212/
Hauru no ugoku shiro,2004,165,"Hayao Miyazaki (dir.), Chieko Baishô, Takuya Kimura",8.114024319659169,,/title/tt0347149/
"Three Billboards Outside Ebbing, Missouri",2017,166,"Martin McDonagh (dir.), Frances McDormand, Woody Harrelson",8.111898821426555,,/title/tt5027774/
Trainspotting,1996,167,"Danny Boyle (dir.), Ewan McGregor, Ewen Bremner",8.111856188621939,,/title/tt0117951/
Gran Torino,2008,168,"Clint Eastwood (dir.), Clint Eastwood, Bee Vang",8.106225657557093,,/title/tt1205489/
Warrior,2011,169,"Gavin O'Connor (dir.), Tom Hardy, Nick Nolte",8.105746194333173,,/title/tt1291584/
Fargo,1996,170,"Joel Coen (dir.), William H. Macy, Frances McDormand",8.103520558805553,,/title/tt0116282/
Tonari no Totoro,1988,171,"Hayao Miyazaki (dir.), Hitoshi Takagi, Noriko Hidaka",8.095896531793372,,/title/tt0096283/
Prisoners,2013,172,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.093248746039343,,/title/tt1392214/
Million Dollar Baby,2004,173,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.0903739775707,,/title/tt0405159/
The Gold Rush,1925,174,"Charles Chaplin (dir.), Charles Chaplin, Mack Swain",8.08785109788843,,/title/tt0015864/
Blade Runner,1982,175,"Ridley Scott (dir.), Harrison Ford, Rutger Hauer",8.087330209871809,,/title/tt0083658/
On the Waterfront,1954,176,"Elia Kazan (dir.), Marlon Brando, Karl Malden",8.085655118022386,,/title/tt0047296/
Catch Me If You Can,2002,177,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",8.085126175723149,,/title/tt0264464/
The Third Man,1949,178,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.08315278673528,,/title/tt0041959/
Bacheha-Ye aseman,1997,179,"Majid Majidi (dir.), Mohammad Amir Naji, Amir Farrokh Hashemian",8.081721845013126,,/title/tt0118849/
Ben-Hur,1959,180,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.079120158928772,,/title/tt0052618/
The General,1926,181,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.07869854411078,,/title/tt0017925/
12 Years a Slave,2013,182,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.078003312293253,,/title/tt2024544/
