,0
0,Connecticut
1,Georgia
2,Idaho
3,Iowa
4,Kansas
5,Kentucky
6,Louisiana
7,Maine
8,Maryland
9,Michigan
10,Mississippi
11,Missouri
12,Montana
13,Nebraska
14,New Hampshire
15,North Dakota
16,Pennsylvania
17,Rhode Island
18,South Dakota
19,Tennessee
20,Vermont
21,Wyoming
